"global_step","train-good_full_from_scratch_lr_3e5_beta_3 - _step","train-good_full_from_scratch_lr_3e5_beta_3 - _step__MIN","train-good_full_from_scratch_lr_3e5_beta_3 - _step__MAX","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss__MIN","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss__MAX","train-good_full_dataset_lr_3e6 - _step","train-good_full_dataset_lr_3e6 - _step__MIN","train-good_full_dataset_lr_3e6 - _step__MAX","train-good_full_dataset_lr_3e6 - losses/vf_loss","train-good_full_dataset_lr_3e6 - losses/vf_loss__MIN","train-good_full_dataset_lr_3e6 - losses/vf_loss__MAX","train-good_full_dataset_lr_3e4 - _step","train-good_full_dataset_lr_3e4 - _step__MIN","train-good_full_dataset_lr_3e4 - _step__MAX","train-good_full_dataset_lr_3e4 - losses/vf_loss","train-good_full_dataset_lr_3e4 - losses/vf_loss__MIN","train-good_full_dataset_lr_3e4 - losses/vf_loss__MAX"
"393112","","","","","","","","","","","","","393","393","393","0.029507162049412727","0.029507162049412727","0.029507162049412727"
"393216","383","383","383","0.011389747262001038","0.011389747262001038","0.011389747262001038","","","","","","","","","","","",""
"394136","","","","","","","","","","","","","394","394","394","0.034185416996479034","0.034185416996479034","0.034185416996479034"
"396148","","","","","","","","","","","","","396","396","396","0.034277718514204025","0.034277718514204025","0.034277718514204025"
"400384","390","390","390","0.014494194649159908","0.014494194649159908","0.014494194649159908","","","","","","","","","","","",""
"402452","","","","","","","423","423","423","0.11896327137947083","0.11896327137947083","0.11896327137947083","","","","","",""
"403476","","","","","","","424","424","424","0.10394400358200073","0.10394400358200073","0.10394400358200073","","","","","",""
"407036","","","","","","","","","","","","","407","407","407","0.02763514593243599","0.02763514593243599","0.02763514593243599"
"407992","","","","","","","","","","","","","408","408","408","0.03827288746833801","0.03827288746833801","0.03827288746833801"
"408916","","","","","","","","","","","","","409","409","409","0.03507738932967186","0.03507738932967186","0.03507738932967186"
"409940","","","","","","","","","","","","","410","410","410","0.03304407000541687","0.03304407000541687","0.03304407000541687"
"411956","","","","","","","","","","","","","412","412","412","0.04107583314180374","0.04107583314180374","0.04107583314180374"
"412892","","","","","","","","","","","","","413","413","413","0.036532554775476456","0.036532554775476456","0.036532554775476456"
"422752","","","","","","","","","","","","","423","423","423","0.040063463151454926","0.040063463151454926","0.040063463151454926"
"422888","","","","","","","445","445","445","0.08649320900440216","0.08649320900440216","0.08649320900440216","","","","","",""
"423756","","","","","","","","","","","","","424","424","424","0.03482139855623245","0.03482139855623245","0.03482139855623245"
"424844","","","","","","","447","447","447","0.10852006077766418","0.10852006077766418","0.10852006077766418","","","","","",""
"428032","417","417","417","0.021554943174123764","0.021554943174123764","0.021554943174123764","","","","","","","","","","","",""
"430044","","","","","","","453","453","453","0.10772141069173813","0.10772141069173813","0.10772141069173813","","","","","",""
